0.29	0.0
0.23	0.0
0.13	1.0
0.25	0.0
0.24	1.0
0.2	0.0
0.28	0.0
0.16	0.0
0.18	0.0
0.25	1.0
0.26	0.0
0.07	0.0
0.18	0.0
0.24	1.0
0.25	1.0
0.19	1.0
0.17	0.0
0.25	1.0
0.18	0.0
0.3	1.0
0.22	0.0
0.21	0.0
0.27	0.0
0.25	1.0
0.19	1.0
0.22	0.0
0.29	0.0
0.17	1.0
0.2	0.0
0.17	1.0
0.31	0.0
0.22	0.0
0.21	0.0
0.15	0.0
0.21	1.0
0.19	0.0
0.18	1.0
0.22	0.0
0.17	1.0
0.2	0.0
0.17	0.0
0.22	1.0
0.16	1.0
0.31	0.0
0.2	0.0
0.2	0.0
0.12	1.0
0.18	0.0
0.17	1.0
0.24	0.0
0.2	0.0
0.12	1.0
0.21	0.0
0.16	0.0
0.21	0.0
0.25	1.0
0.11	0.0
0.14	0.0
0.23	0.0
0.18	0.0
0.2	0.0
0.19	1.0
0.17	1.0
0.16	0.0
0.23	0.0
0.18	1.0
0.25	1.0
0.19	1.0
0.25	0.0
0.21	0.0
0.27	1.0
0.16	0.0
0.21	0.0
0.24	1.0
0.25	0.0
0.28	1.0
0.17	1.0
0.16	1.0
0.24	1.0
0.16	0.0
0.19	0.0
0.23	1.0
0.23	0.0
0.17	0.0
0.19	1.0
0.22	1.0
0.16	1.0
0.25	0.0
0.15	1.0
0.16	0.0
0.15	1.0
0.29	0.0
0.21	1.0
0.17	1.0
0.16	0.0
0.42	1.0
0.24	0.0
0.17	0.0
0.26	0.0
0.21	0.0
0.21	0.0
0.18	1.0
0.24	0.0
0.19	0.0
0.12	0.0
0.21	0.0
0.36	1.0
0.17	0.0
0.15	0.0
0.23	0.0
0.16	1.0
0.18	0.0
0.2	0.0
0.26	1.0
0.26	0.0
0.21	1.0
0.17	0.0
0.23	0.0
0.18	0.0
0.16	1.0
0.2	1.0
0.15	1.0
0.19	1.0
0.2	0.0
0.27	1.0
0.2	0.0
0.12	1.0
0.32	1.0
0.09	1.0
0.19	1.0
0.19	0.0
0.1	0.0
0.18	0.0
0.18	0.0
0.2	1.0
0.15	1.0
0.2	0.0
0.15	0.0
0.22	0.0
0.23	1.0
0.24	0.0
0.2	0.0
0.22	0.0
0.19	0.0
0.2	1.0
0.12	0.0
0.27	0.0
0.175	1.0
0.2	0.0
0.17	1.0
0.14	1.0
0.26	1.0
0.22	1.0
0.17	0.0
0.22	1.0
0.17	0.0
0.2	1.0
0.22	1.0
0.19	1.0
0.22	1.0
0.17	0.0
0.2	1.0
0.17	0.0
0.27	0.0
0.24	1.0
0.17	1.0
0.22	0.0
0.31	0.0
0.18	0.0
0.25	0.0
0.23	0.0
0.18	0.0
0.22	0.0
0.23	1.0
0.15	1.0
0.25	0.0
0.23	0.0
0.22	0.0
0.16	0.0
0.22	1.0
0.24	0.0
0.2	0.0
0.2	0.0
0.21	1.0
0.22	1.0
0.09	0.0
0.21	0.0
0.27	1.0
0.15	0.0
0.12	0.0
0.18	0.0
0.14	1.0
0.17	1.0
0.2	0.0
0.19	0.0
0.24	0.0
0.22	1.0
0.18	1.0
0.13	0.0
0.24	1.0
0.2	1.0
0.17	0.0
0.17	1.0
0.15	1.0
0.25	1.0
0.25	1.0
0.27	0.0
0.19	0.0
0.2	1.0
0.17	1.0
0.17	0.0
0.28	0.0
0.25	0.0
0.27	1.0
0.16	0.0
0.17	1.0
0.18	0.0
0.22	0.0
0.3	1.0
0.26	0.0
0.31	1.0
0.25	0.0
0.19	1.0
0.16	0.0
0.29	0.0
0.21	0.0
0.15	1.0
0.24	0.0
0.12	1.0
0.18	1.0
0.15	0.0
0.19	0.0
0.22	1.0
0.14	0.0
0.25	1.0
0.22	1.0
0.16	1.0
0.24	1.0
0.15	0.0
0.2	1.0
0.16	1.0
0.17	0.0
0.25	1.0
0.22	1.0
0.27	0.0
0.18	1.0
0.19	0.0
0.27	1.0
0.15	0.0
0.18	0.0
0.22	1.0
0.19	0.0
0.19	0.0
0.15	1.0
0.16	0.0
0.21	0.0
0.23	0.0
0.27	0.0
0.24	0.0
0.25	1.0
0.17	1.0
0.25	0.0
0.16	1.0
0.21	0.0
0.22	0.0
0.16	1.0
0.19	0.0
0.29	0.0
0.11	1.0
0.25	0.0
0.19	0.0
0.14	0.0
0.19	1.0
0.18	0.0
0.23	0.0
0.13	0.0
0.25	1.0
0.19	1.0
0.16	1.0
0.24	0.0
0.12	1.0
0.18	0.0
0.19	0.0
0.26	1.0
0.19	0.0
0.19	0.0
0.14	0.0
0.18	1.0
0.21	0.0
0.09	0.0
0.11	0.0
0.24	1.0
0.15	0.0
0.18	1.0
0.27	0.0
0.18	0.0
0.18	0.0
0.21	0.0
0.2	1.0
0.18	0.0
0.18	1.0
0.29	1.0
0.13	0.0
0.25	0.0
0.2	1.0
0.13	1.0
0.28	1.0
0.18	1.0
0.29	0.0
0.22	0.0
0.22	0.0
0.19	0.0
0.16	0.0
0.08	0.0
0.21	1.0
0.26	0.0
0.2	0.0
0.17	0.0
0.16	0.0
0.18	0.0
0.24	0.0
0.19	0.0
0.25	1.0
0.25	1.0
0.24	1.0
0.23	1.0
0.29	0.0
0.41	1.0
0.15	0.0
0.19	0.0
0.14	0.0
0.16	1.0
0.21	1.0
0.14	0.0
0.3	1.0
0.2	1.0
0.33	0.0
0.21	1.0
0.17	0.0
0.21	1.0
0.26	1.0
0.19	0.0
0.12	0.0
0.19	0.0
0.19	0.0
0.22	0.0
0.16	0.0
0.15	1.0
0.28	0.0
0.22	0.0
0.14	0.0
0.24	1.0
0.18	0.0
0.16	0.0
0.17	0.0
0.24	0.0
0.21	0.0
0.17	0.0
0.33	1.0
0.29	0.0
0.16	0.0
0.26	0.0
0.23	0.0
0.2	0.0
0.23	0.0
0.3	0.0
0.17	0.0
0.2	0.0
0.14	1.0
0.17	1.0
0.26	0.0
0.3	1.0
0.21	1.0
0.31	0.0
0.25	1.0
0.2	0.0
0.21	1.0
0.13	0.0
0.11	0.0
0.15	1.0
0.16	0.0
0.18	1.0
0.19	1.0
0.24	0.0
0.21	0.0
0.29	0.0
0.24	0.0
0.16	0.0
0.16	0.0
0.21	1.0
0.18	0.0
0.27	1.0
0.15	0.0
0.21	0.0
0.1	0.0
0.15	1.0
0.15	0.0
0.2	0.0
0.13	0.0
0.23	1.0
0.25	1.0
0.22	0.0
0.28	0.0
0.11	0.0
0.15	0.0
0.2	0.0
0.2	0.0
0.21	0.0
0.1	0.0
0.23	0.0
0.22	1.0
0.29	0.0
0.22	1.0
0.28	0.0
0.19	0.0
0.28	1.0
0.19	1.0
0.26	0.0
0.16	0.0
0.23	0.0
0.21	0.0
0.28	0.0
0.15	0.0
0.26	1.0
0.18	1.0
0.2	0.0
0.22	1.0
0.22	0.0
0.28	1.0
0.17	0.0
0.25	1.0
0.16	0.0
0.31	1.0
0.28	1.0
0.21	0.0
0.18	1.0
0.14	0.0
0.34	0.0
0.2	0.0
0.14	0.0
0.29	0.0
0.21	1.0
0.21	1.0
0.19	0.0
0.26	0.0
0.23	0.0
0.08	1.0
0.2	0.0
0.19	1.0
0.15	1.0
0.3	1.0
0.14	0.0
0.15	1.0
0.15	0.0
0.16	0.0
0.17	0.0
0.16	0.0
0.13	1.0
0.16	1.0
0.17	0.0
0.21	1.0
0.24	0.0
0.28	0.0
0.18	0.0
0.22	0.0
0.22	0.0
0.29	1.0
0.17	1.0
0.47	1.0
0.19	0.0
0.24	1.0
0.21	1.0
0.24	1.0
0.25	0.0
0.21	0.0
0.21	0.0
0.17	0.0
0.48	1.0
0.2	0.0
0.2	0.0
0.17	0.0
0.29	0.0
0.24	1.0
0.28	1.0
0.17	1.0
0.11	1.0
0.2	1.0
0.15	0.0
0.16	0.0
0.17	0.0
0.23	0.0
0.22	0.0
0.2	0.0
0.21	1.0
0.23	1.0
0.22	1.0
0.21	0.0
0.16	0.0
0.25	0.0
0.23	0.0
0.17	1.0
0.38	1.0
0.16	0.0
0.19	0.0
0.21	1.0
0.21	1.0
0.23	0.0
0.2	0.0
0.29	1.0
0.17	0.0
0.21	1.0
0.25	0.0
0.19	0.0
0.18	1.0
0.18	0.0
0.19	1.0
0.18	0.0
0.28	0.0
0.14	1.0
0.19	0.0
0.25	1.0
0.16	0.0
0.23	0.0
0.1	0.0
0.23	0.0
0.11	0.0
0.16	1.0
0.18	1.0
0.19	0.0
0.22	0.0
0.29	1.0
0.21	1.0
0.16	0.0
0.27	1.0
0.21	0.0
0.2	0.0
0.2	0.0
0.21	1.0
0.2	1.0
0.21	0.0
0.18	0.0
0.3	0.0
0.25	1.0
0.12	0.0
0.25	0.0
0.2	0.0
0.19	0.0
0.14	1.0
0.17	0.0
0.13	1.0
0.14	1.0
0.17	1.0
0.12	1.0
0.26	1.0
0.29	0.0
0.3	1.0
0.28	1.0
0.22	0.0
0.13	0.0
0.16	0.0
0.25	0.0
0.13	0.0
0.24	1.0
0.2	0.0
0.19	0.0
0.16	1.0
0.29	0.0
0.17	0.0
0.13	0.0
0.22	0.0
0.18	0.0
0.12	0.0
0.21	0.0
0.15	1.0
0.17	1.0
0.14	0.0
0.16	0.0
0.16	1.0
0.2	1.0
0.22	0.0
0.17	1.0
0.23	0.0
0.2	1.0
0.23	0.0
0.17	0.0
0.2	1.0
0.13	0.0
0.2	1.0
0.12	0.0
0.25	1.0
0.24	0.0
0.13	0.0
0.21	0.0
0.25	1.0
0.19	1.0
0.22	0.0
0.25	1.0
0.25	1.0
0.22	0.0
0.19	1.0
0.18	0.0
0.17	1.0
0.11	0.0
0.23	1.0
0.28	0.0
0.22	0.0
0.16	1.0
0.22	0.0
0.24	0.0
0.16	0.0
0.23	0.0
0.15	0.0
0.19	1.0
0.2	0.0
0.26	1.0
0.24	0.0
0.27	1.0
0.21	1.0
0.22	1.0
0.18	1.0
0.3	0.0
0.13	0.0
0.18	1.0
0.3	0.0
0.27	1.0
0.17	0.0
0.12	1.0
0.18	0.0
0.18	0.0
0.2	1.0
0.14	0.0
0.22	0.0
0.12	0.0
0.23	0.0
0.17	1.0
0.17	0.0
0.26	1.0
0.25	1.0
0.15	0.0
0.23	0.0
0.19	0.0
0.3	1.0
0.18	1.0
0.18	0.0
0.16	0.0
0.23	1.0
0.15	0.0
0.16	1.0
0.21	0.0
0.22	1.0
0.22	1.0
0.24	1.0
0.19	0.0
0.19	0.0
0.19	0.0
0.16	0.0
0.23	0.0
0.16	0.0
0.22	0.0
0.12	0.0
0.24	1.0
0.17	0.0
0.19	1.0
0.2	0.0
0.13	0.0
0.25	0.0
0.23	1.0
0.2	1.0
0.17	1.0
0.22	0.0
0.29	1.0
0.2	0.0
0.18	0.0
0.18	0.0
0.2	0.0
0.27	0.0
0.19	1.0
0.19	0.0
0.24	0.0
0.17	0.0
0.18	0.0
0.17	0.0
0.24	0.0
0.19	0.0
0.24	0.0
0.25	0.0
0.21	1.0
0.22	1.0
0.12	0.0
0.17	0.0
0.17	0.0
0.23	0.0
0.14	0.0
0.18	0.0
0.15	0.0
0.23	0.0
0.13	0.0
0.22	1.0
0.23	1.0
0.2	1.0
0.17	0.0
0.12	0.0
0.26	1.0
0.27	1.0
0.13	0.0
0.22	0.0
0.18	1.0
0.15	1.0
0.29	0.0
0.22	0.0
0.17	0.0
0.21	1.0
0.18	0.0
0.25	1.0
0.13	1.0
0.14	0.0
0.23	0.0
0.23	1.0
0.22	1.0
0.29	0.0
0.19	1.0
0.11	0.0
0.2	0.0
0.16	1.0
0.23	0.0
0.18	1.0
0.2	0.0
0.17	0.0
0.28	1.0
0.24	1.0
0.18	0.0
0.16	1.0
0.15	0.0
0.16	0.0
0.21	1.0
0.15	0.0
0.15	0.0
0.25	0.0
0.19	1.0
0.26	1.0
0.21	0.0
0.21	1.0
0.18	1.0
0.2	1.0
0.17	1.0
0.2	0.0
0.19	0.0
0.2	0.0
0.21	0.0
0.22	1.0
0.33	1.0
0.22	0.0
0.14	0.0
0.11	0.0
0.14	0.0
0.42	1.0
0.18	0.0
0.19	0.0
0.25	1.0
0.19	0.0
0.13	1.0
0.19	1.0
0.17	0.0
0.2	1.0
0.17	1.0
0.42	0.0
0.29	0.0
0.22	0.0
0.16	0.0
0.24	0.0
0.25	0.0
0.2	0.0
0.19	1.0
0.19	0.0
0.24	0.0
0.21	1.0
0.15	0.0
0.18	0.0
0.22	0.0
0.17	1.0
0.12	0.0
0.15	0.0
0.18	0.0
0.23	0.0
0.22	1.0
0.22	0.0
0.12	0.0
0.18	0.0
0.22	0.0
0.22	1.0
0.13	0.0
0.21	0.0
0.18	1.0
0.15	0.0
0.22	1.0
0.29	0.0
0.24	0.0
0.1	0.0
0.23	0.0
0.19	1.0
0.24	0.0
0.24	0.0
0.25	1.0
0.25	0.0
0.19	1.0
0.2	1.0
0.24	1.0
0.2	0.0
0.22	0.0
0.18	1.0
0.17	1.0
0.19	0.0
0.19	0.0
0.16	0.0
0.18	0.0
0.23	1.0
0.21	0.0
0.23	0.0
0.2	0.0
0.25	1.0
0.2	1.0
0.23	1.0
0.19	0.0
0.12	0.0
0.18	0.0
0.18	0.0
0.2	1.0
0.17	0.0
0.18	0.0
0.19	1.0
0.21	0.0
0.2	0.0
0.2	0.0
0.16	1.0
0.2	1.0
0.33	0.0
0.18	0.0
0.15	0.0
0.16	0.0
0.26	1.0
0.19	1.0
0.15	0.0
0.24	0.0
0.18	0.0
0.25	0.0
0.13	0.0
0.19	1.0
0.2	1.0
0.18	0.0
0.24	0.0
0.17	0.0
0.21	0.0
0.19	0.0
0.14	0.0
0.17	1.0
0.16	1.0
0.2	0.0
0.23	0.0
0.13	1.0
0.17	0.0
0.2	0.0
0.22	1.0
0.18	0.0
0.24	1.0
0.2	0.0
0.19	0.0
0.18	0.0
0.16	1.0
0.14	0.0
0.173333333333	0.0
0.32	0.0
0.2	1.0
0.13	1.0
0.21	0.0
0.12	0.0
0.18	1.0
0.23	1.0
0.12	0.0
0.24	1.0
0.18	0.0
0.21	1.0
0.15	1.0
0.14	0.0
0.18	0.0
0.22	1.0
0.13	0.0
0.21	1.0
0.21	0.0
0.17	0.0
0.17	1.0
0.24	0.0
0.18	0.0
0.15	0.0
0.11	1.0
0.19	0.0
0.15	0.0
0.28	1.0
0.14	0.0
0.15	0.0
0.19	1.0
0.24	0.0
0.18	1.0
0.21	0.0
0.17	0.0
0.1	0.0
0.22	1.0
0.24	0.0
0.16	1.0
0.22	0.0
0.25	0.0
0.14	0.0
0.18	0.0
0.28	1.0
0.23	0.0
0.2	0.0
0.24	0.0
0.13	0.0
0.19	0.0
0.16	0.0
0.22	1.0
0.25	1.0
0.15	1.0
0.19	0.0
0.23	0.0
0.24	0.0
0.21	0.0
0.21	1.0
0.21	0.0
0.23	0.0
0.18	1.0
0.21	0.0
0.2	1.0
0.22	0.0
0.23	1.0
0.29	0.0
0.26	1.0
0.29	1.0
0.26	1.0
0.15	0.0
0.2	0.0
0.23	1.0
0.12	0.0
0.21	1.0
0.46	1.0
0.23	1.0
0.15	0.0
0.12	0.0
0.29	0.0
0.2	0.0
0.19	0.0
0.18	0.0
0.18	0.0
0.09	1.0
0.19	1.0
0.26	0.0
0.19	0.0
0.24	0.0
0.22	0.0
0.15	0.0
0.2	1.0
0.14	1.0
0.2	0.0
0.16	0.0
0.19	0.0
0.13	1.0
0.23	0.0
0.16	0.0
0.24	1.0
0.12	0.0
0.18	0.0
0.17	1.0
0.16	1.0
0.15	0.0
0.15	0.0
0.27	1.0
0.18	0.0
0.19	0.0
0.13	0.0
0.19	0.0
0.18	0.0
0.16	0.0
0.19	0.0
0.16	0.0
0.2	1.0
0.26	0.0
0.14	1.0
0.18	1.0
0.28	1.0
0.26	0.0
0.15	0.0
0.26	0.0
0.19	0.0
0.16	1.0
0.21	1.0
0.2	0.0
0.2	0.0
0.24	0.0
0.15	0.0
0.25	1.0
0.11	0.0
0.16	0.0
0.21	0.0
0.22	0.0
0.13	0.0
0.22	0.0
0.18	0.0
0.21	0.0
0.18	1.0
0.22	0.0
0.19	0.0
0.19	1.0
0.22	1.0
0.26	1.0
0.24	0.0
0.19	0.0
0.16	0.0
0.17	0.0
0.26	1.0
0.14	0.0
0.24	0.0
0.12	0.0
0.27	1.0
0.15	0.0
0.23	0.0
0.22	0.0
0.14	0.0
0.17	0.0
0.17	0.0
0.19	1.0
0.32	1.0
0.18	1.0
0.26	1.0
0.18	0.0
0.25	1.0
0.21	1.0
0.25	0.0
0.2	0.0
0.19	1.0
0.17	0.0
0.15	1.0
0.16	0.0
0.1	1.0
0.11	0.0
0.2	0.0
0.17	0.0
0.22	0.0
0.28	1.0
0.22	1.0
0.18	0.0
0.2	0.0
0.15	0.0
0.19	0.0
0.1	0.0
0.16	0.0
0.24	0.0
0.13	0.0
0.19	0.0
0.19	0.0
0.13	0.0
0.26	0.0
0.16	1.0
0.28	0.0
0.18	0.0
0.27	0.0
0.21	0.0
0.12	0.0
0.17	0.0
0.33	0.0
0.16	0.0
0.26	0.0
0.27	1.0
0.16	0.0
0.17	0.0
0.14	0.0
0.17	1.0
0.15	0.0
0.27	1.0
0.17	1.0
0.2	0.0
0.18	1.0
0.16	0.0
0.21	0.0
0.18	0.0
0.14	0.0
0.18	1.0
0.18	0.0
0.22	0.0
0.32	1.0
0.2	0.0
0.2	0.0
0.18	1.0
0.16	1.0
0.17	0.0
0.18	1.0
0.18	0.0
0.18	0.0
0.13	1.0
0.23	1.0
0.22	0.0
0.15	0.0
0.19	0.0
0.21	0.0
0.13	0.0
0.19	1.0
0.21	1.0
0.15	1.0
0.2	0.0
0.19	0.0
0.34	1.0
0.21	0.0
0.16	0.0
0.18	0.0
0.2	1.0
0.18	0.0
0.21	0.0
0.25	0.0
0.18	1.0
0.13	0.0
0.2	0.0
0.29	1.0
0.24	0.0
0.16	1.0
0.14	0.0
0.25	0.0
0.21	0.0
0.21	1.0
0.21	0.0
0.17	0.0
0.24	0.0
0.21	0.0
0.26	1.0
0.11	0.0
0.22	0.0
0.23	0.0
0.27	1.0
0.19	1.0
0.18	1.0
0.11	0.0
0.16	0.0
0.18	1.0
0.18	1.0
0.14	1.0
0.26	1.0
0.15	0.0
0.19	0.0
0.17	1.0
0.19	0.0
0.16	0.0
0.23	1.0
0.31	1.0
0.2	0.0
0.24	1.0
0.25	0.0
0.11	0.0
0.22	0.0
0.16	1.0
0.18	0.0
0.12	1.0
0.18	0.0
0.15	0.0
0.28	0.0
0.18	0.0
0.15	0.0
0.16	1.0
0.3	0.0
0.19	1.0
0.16	1.0
0.24	1.0
0.16	0.0
0.15	1.0
0.18	1.0
0.14	0.0
0.13	0.0
0.12	0.0
0.22	0.0
0.13	1.0
0.22	0.0
0.24	1.0
0.2	0.0
0.28	0.0
0.19	0.0
0.18	0.0
0.22	0.0
0.11	1.0
0.22	0.0
0.17	1.0
0.27	1.0
0.18	0.0
0.47	1.0
0.14	1.0
0.19	1.0
0.15	1.0
0.17	0.0
0.11	0.0
0.46	1.0
0.15	0.0
0.2	0.0
0.18	0.0
0.19	0.0
0.17	0.0
0.19	1.0
0.29	1.0
0.22	0.0
0.26	0.0
0.17	0.0
0.2	1.0
0.12	0.0
0.24	0.0
0.17	1.0
0.17	0.0
0.15	1.0
0.23	1.0
0.18	0.0
0.16	1.0
0.13	1.0
0.21	1.0
0.2	0.0
0.16	0.0
0.2	0.0
0.2	1.0
0.28	1.0
0.2	0.0
0.12	1.0
0.24	1.0
0.13	0.0
0.31	1.0
0.26	0.0
0.16	0.0
0.14	1.0
0.13	1.0
0.26	1.0
0.26	1.0
0.14	0.0
0.16	0.0
0.19	0.0
0.23	0.0
0.16	0.0
0.13	0.0
0.2	0.0
0.54	1.0
0.14	0.0
0.17	0.0
0.16	1.0
0.19	0.0
0.16	0.0
0.18	1.0
0.15	0.0
0.21	0.0
0.19	0.0
0.25	0.0
0.17	0.0
0.24	0.0
0.21	1.0
0.16	0.0
0.18	0.0
0.29	0.0
0.16	0.0
0.27	0.0
0.16	0.0
0.21	0.0
0.21	0.0
0.23	0.0
0.15	0.0
0.27	1.0
0.29	0.0
0.23	1.0
0.23	1.0
0.22	0.0
0.24	0.0
0.12	1.0
0.2	0.0
0.13	0.0
0.27	1.0
0.17	0.0
0.17	1.0
0.2	0.0
0.21	0.0
0.27	1.0
0.21	0.0
0.22	1.0
0.16	0.0
0.15	0.0
0.15	1.0
0.11	0.0
0.15	0.0
0.18	1.0
0.3	1.0
0.34	0.0
0.22	0.0
0.27	0.0
0.2	0.0
0.16	0.0
0.11	0.0
0.15	0.0
0.16	0.0
0.14	0.0
0.16	1.0
0.16	0.0
0.24	0.0
0.24	0.0
0.16	1.0
0.14	1.0
0.19	1.0
0.23	1.0
0.32	1.0
0.14	0.0
0.21	1.0
0.12	1.0
0.18	0.0
0.14	0.0
0.21	0.0
0.22	0.0
0.28	0.0
0.21	1.0
0.22	1.0
0.16	0.0
0.14	0.0
0.26	0.0
0.19	1.0
0.24	1.0
0.47	1.0
0.24	1.0
0.24	0.0
0.19	1.0
0.19	0.0
0.12	1.0
0.19	0.0
0.26	0.0
0.19	0.0
0.13	0.0
0.23	1.0
0.16	0.0
0.12	1.0
0.21	0.0
0.28	1.0
0.17	1.0
0.2	0.0
0.21	1.0
0.27	1.0
0.23	0.0
0.13	1.0
0.22	0.0
0.26	1.0
0.19	0.0
0.25	0.0
0.17	0.0
0.13	1.0
0.2	1.0
0.22	0.0
0.17	0.0
0.2	0.0
0.12	1.0
0.22	0.0
0.19	0.0
0.18	1.0
0.22	1.0
0.17	1.0
0.21	1.0
0.15	0.0
0.17	0.0
0.22	0.0
0.36	1.0
0.26	0.0
0.29	0.0
0.19	0.0
0.25	0.0
0.22	1.0
0.15	0.0
0.25	0.0
0.18	0.0
0.14	1.0
0.13	0.0
0.26	0.0
0.17	0.0
0.2	0.0
0.22	0.0
0.17	1.0
0.17	1.0
0.11	0.0
0.22	1.0
0.26	1.0
0.18	0.0
0.2	1.0
0.25	0.0
0.16	0.0
0.32	1.0
0.18	1.0
0.17	0.0
0.14	0.0
0.21	0.0
0.24	0.0
0.19	1.0
0.18	0.0
0.25	0.0
0.2	1.0
0.14	0.0
0.16	0.0
0.13	1.0
0.26	0.0
0.26	0.0
0.21	1.0
0.19	1.0
0.18	1.0
0.22	0.0
0.21	1.0
0.19	0.0
0.21	1.0
0.12	1.0
0.17	1.0
0.16	1.0
0.19	0.0
0.22	0.0
0.12	0.0
0.25	0.0
0.26	0.0
0.21	0.0
0.57	1.0
0.25	0.0
0.26	1.0
0.14	0.0
0.22	0.0
0.24	0.0
0.27	1.0
0.23	0.0
0.24	1.0
0.25	0.0
0.19	0.0
0.15	0.0
0.26	0.0
0.19	1.0
0.15	1.0
0.2	0.0
0.14	1.0
0.2	1.0
0.25	1.0
0.13	0.0
0.13	0.0
0.26	1.0
0.25	1.0
0.15	1.0
0.26	1.0
0.25	0.0
0.17	0.0
0.22	0.0
0.18	0.0
0.22	1.0
0.17	0.0
0.1	0.0
0.19	1.0
0.17	1.0
0.15	1.0
0.24	1.0
0.19	0.0
0.15	0.0
0.17	0.0
0.19	0.0
0.48	1.0
0.26	0.0
0.2	1.0
0.18	1.0
0.31	0.0
0.19	0.0
0.18	1.0
0.19	0.0
0.21	0.0
0.2	0.0
0.25	0.0
0.18	1.0
0.19	0.0
0.26	1.0
0.16	1.0
0.14	0.0
0.19	1.0
0.16	0.0
0.19	0.0
0.12	1.0
0.23	0.0
0.23	0.0
0.31	0.0
0.2	0.0
0.16	0.0
0.18	1.0
0.23	1.0
0.22	0.0
0.17	1.0
0.25	0.0
0.2	1.0
0.18	1.0
0.25	0.0
0.19	0.0
0.18	0.0
0.29	1.0
0.23	0.0
0.16	1.0
0.19	1.0
0.2475	0.0
0.18	1.0
0.21	0.0
0.15	0.0
0.18	0.0
0.29	0.0
0.21	1.0
0.26	0.0
0.15	0.0
0.15	1.0
0.29	0.0
0.26	0.0
0.25	0.0
0.27	1.0
0.14	0.0
0.22	0.0
0.19	1.0
0.14	0.0
0.2	0.0
0.17	0.0
0.32	1.0
0.19	0.0
0.2	1.0
0.19	0.0
0.14	0.0
0.14	1.0
0.16	0.0
0.16	0.0
0.22	0.0
0.21	0.0
0.14	0.0
0.16	0.0
0.18	1.0
0.13	0.0
0.2	0.0
0.24	0.0
0.19	0.0
0.2	0.0
0.19	0.0
0.17	0.0
0.22	1.0
0.26	1.0
0.16	0.0
0.52	1.0
0.14	0.0
0.18	1.0
0.18	0.0
0.27	0.0
0.21	1.0
0.12	0.0
0.23	1.0
0.22	0.0
0.23	0.0
0.23	0.0
0.18	0.0
0.15	0.0
0.18	0.0
0.23	1.0
0.17	0.0
0.18	0.0
0.13	0.0
0.2	0.0
0.2	0.0
0.23	0.0
0.19	0.0
0.18	0.0
0.25	1.0
0.19	0.0
0.25	0.0
0.16	1.0
0.18	0.0
0.24	0.0
0.22	0.0
0.29	0.0
0.24	0.0
0.28	0.0
0.29	1.0
0.22	1.0
0.19	1.0
0.18	0.0
0.17	1.0
0.22	0.0
0.15	1.0
0.15	0.0
0.11	0.0
0.22	0.0
0.15	0.0
0.25	1.0
0.18	0.0
0.18	0.0
0.2	0.0
0.19	0.0
0.24	0.0
0.21	1.0
0.19	0.0
0.14	0.0
0.26	1.0
0.26	0.0
0.16	0.0
0.17	1.0
0.22	1.0
0.21	0.0
0.24	1.0
0.18	1.0
0.26	0.0
0.16	0.0
0.18	0.0
0.16	0.0
0.18	1.0
0.24	1.0
0.14	0.0
0.2	1.0
0.27	1.0
0.23	0.0
0.2	1.0
0.19	1.0
0.1	1.0
0.24	0.0
0.28	1.0
0.24	0.0
0.21	0.0
0.18	1.0
0.19	0.0
0.18	0.0
0.22	1.0
0.19	1.0
0.18	1.0
0.24	0.0
0.22	0.0
0.3	0.0
0.24	1.0
0.16	0.0
0.19	0.0
0.3	0.0
0.19	0.0
0.21	1.0
0.13	0.0
0.21	1.0
0.15	0.0
0.24	1.0
0.19	0.0
0.22	0.0
0.21	0.0
0.21	1.0
0.21	0.0
0.31	1.0
0.13	0.0
0.19	0.0
0.2	0.0
0.15	0.0
0.14	1.0
0.2	0.0
0.17	1.0
0.23	1.0
0.25	0.0
0.23	0.0
0.24	1.0
0.17	0.0
0.22	0.0
0.23	1.0
0.18	0.0
0.15	0.0
0.12	0.0
0.25	0.0
0.21	1.0
0.24	0.0
0.22	0.0
0.2	0.0
0.24	0.0
0.2	1.0
0.3	0.0
0.17	1.0
0.2	0.0
0.22	0.0
0.2	0.0
0.27	0.0
0.11	1.0
0.31	1.0
0.23	1.0
0.23	1.0
0.21	1.0
0.13	0.0
0.19	1.0
0.22	0.0
0.21	0.0
0.21	0.0
0.14	1.0
0.25	0.0
0.23	0.0
0.29	0.0
0.12	1.0
0.28	1.0
0.25	0.0
0.24	1.0
0.18	0.0
0.18	0.0
0.19	0.0
0.23	0.0
0.21	1.0
0.19	0.0
0.23	0.0
0.17	0.0
0.22	1.0
0.1	0.0
0.17	0.0
0.25	1.0
0.21	1.0
0.16	0.0
0.41	1.0
0.19	0.0
0.16	1.0
0.18	0.0
0.16	0.0
0.24	1.0
0.15	1.0
0.26	1.0
0.15	1.0
0.3	1.0
0.27	0.0
0.17	1.0
0.21	1.0
0.12	0.0
0.16	0.0
0.14	0.0
0.17	0.0
0.28	0.0
0.18	1.0
0.23	1.0
0.15	0.0
0.16	1.0
0.26	0.0
0.12	0.0
0.16	0.0
0.13	0.0
0.26	0.0
0.27	0.0
0.23	0.0
0.08	0.0
0.23	0.0
0.24	1.0
0.21	0.0
0.18	1.0
0.21	1.0
0.18	1.0
0.33	1.0
0.27	1.0
0.32	0.0
0.16	0.0
0.24	1.0
0.19	0.0
0.19	0.0
0.16	0.0
0.21	0.0
0.16	1.0
